"NUTS_code","NUTS_year","edge","field","low","rich","edge_mha","agriculture","fallow_per"
"D128","D128_2007",33,7,60,12,47.951384757901,270.717935099039,7.57399486799345
"D128","D128_2007",45,6,78,13,47.951384757901,270.717935099039,3.88552731033479
"D128","D128_2007",76,18,95,15,47.951384757901,270.717935099039,2.44196405413542
"D121","D121_2007",17,10,67,13,65.1425858092777,264.302450105884,4.67111263624138
"D121","D121_2007",43,16,102,14,65.1425858092777,264.302450105884,3.8849026882445
"D121","D121_2007",22,15,28,9,0.722352926895443,291.003052987103,7.77282112200377
"D121","D121_2007",7,6,21,7,0.722352926895443,291.003052987103,4.67111263624138
"D121","D121_2007",4,1,0,2,0.722352926895443,291.003052987103,3.8849026882445
"D121","D121_2007",11,0,190,7,30.4037260938624,39.1682541009084,7.77282112200377
"D121","D121_2007",0,0,185,6,30.4037260938624,39.1682541009084,4.67111263624138
"D121","D121_2007",2,4,36,9,90.9931169970691,117.01792688674,7.77282112200377
"D121","D121_2007",2,3,36,7,90.9931169970691,117.01792688674,4.67111263624138
"D121","D121_2007",4,0,22,5,90.9931169970691,117.01792688674,3.8849026882445
"D123","D123_2007",5,9,6,5,36.2425519739452,297.02550832661,9.88905355719706
"D123","D123_2007",22,6,21,9,36.2425519739452,297.02550832661,3.93039701054247
"D123","D123_2007",40,19,23,8,36.2425519739452,297.02550832661,3.19356838286612
"D123","D123_2007",107,50,55,14,36.258135552635,278.065067903503,3.19356838286612
"D118","D118_2007",63,17,44,10,18.8330495610194,183.772121542443,10.1560044194465
"D118","D118_2007",26,13,35,6,18.8330495610194,183.772121542443,4.1554604035674
"D118","D118_2007",37,11,48,8,18.8330495610194,183.772121542443,3.26338677734391
"D128","D128_2007",94,12,103,15,38.6806363693433,253.332244732486,7.57399486799345
"D128","D128_2007",96,27,96,17,38.6806363693433,253.332244732486,3.88552731033479
"D128","D128_2007",97,19,157,16,38.6806363693433,253.332244732486,2.44196405413542
"D118","D118_2007",74,3,92,10,105.454692636309,87.0658561800431,10.1560044194465
"D118","D118_2007",35,2,122,9,105.454692636309,87.0658561800431,4.1554604035674
"D118","D118_2007",39,11,130,12,49.2625237848666,204.948547352404,4.1554604035674
"D118","D118_2007",29,7,99,12,49.2625237848666,204.948547352404,3.26338677734391
"D125","D125_2007",56,23,122,13,40.4311319370847,252.442277573119,10.1157485786508
"D125","D125_2007",75,25,136,13,40.4311319370847,252.442277573119,5.48331308925249
"D125","D125_2007",54,25,181,12,40.4311319370847,252.442277573119,3.47461665336085
"D125","D125_2007",16,0,120,8,34.7843045671446,57.7830425488612,10.1157485786508
"D125","D125_2007",5,0,106,6,34.7843045671446,57.7830425488612,5.48331308925249
"D125","D125_2007",11,0,95,6,34.7843045671446,57.7830425488612,3.47461665336085
"D122","D122_2007",75,26,62,13,51.0097497594182,258.641836217246,8.53963143598063
"D122","D122_2007",60,24,29,13,51.0097497594182,258.641836217246,3.26026292356764
"D122","D122_2007",32,7,41,12,44.500362842679,236.243234574623,8.53963143598063
"D122","D122_2007",22,13,31,10,44.500362842679,236.243234574623,3.26026292356764
"D122","D122_2007",53,93,77,14,50.9659165123064,232.828118751813,8.53963143598063
"D122","D122_2007",41,23,77,12,50.9659165123064,232.828118751813,3.26026292356764
"D122","D122_2007",44,39,40,9,50.9659165123064,232.828118751813,2.89958605701186
"D122","D122_2007",38,18,82,13,36.3867294438694,215.680395679507,3.26026292356764
"D122","D122_2007",27,13,46,12,36.3867294438694,215.680395679507,2.89958605701186
"D122","D122_2007",22,7,79,13,64.149115257536,263.282245824946,3.26026292356764
"D122","D122_2007",33,3,41,13,64.149115257536,263.282245824946,2.89958605701186
"D125","D125_2007",33,43,55,12,23.6329523259719,304.564130933182,10.1157485786508
"D125","D125_2007",30,36,31,11,23.6329523259719,304.564130933182,5.48331308925249
"D125","D125_2007",16,57,39,9,23.6329523259719,304.564130933182,3.47461665336085
"D122","D122_2007",29,37,7,7,49.2868552759105,271.52377420882,8.53963143598063
"D122","D122_2007",18,28,30,6,49.2868552759105,271.52377420882,3.26026292356764
"D122","D122_2007",73,15,99,17,57.6323821646589,137.851526593584,8.53963143598063
"D122","D122_2007",42,3,98,11,57.6323821646589,137.851526593584,2.89958605701186
"D127","D127_2007",10,7,30,9,30.265671961204,133.072080116778,13.3066992604441
"D127","D127_2007",24,7,44,11,30.265671961204,133.072080116778,5.50415190418054
"D127","D127_2007",31,7,44,10,30.265671961204,133.072080116778,3.40796165759971
"D127","D127_2007",23,1,104,5,17.2267855086185,47.7783840052619,13.3066992604441
"D127","D127_2007",16,0,27,6,17.2267855086185,47.7783840052619,3.40796165759971
"D127","D127_2007",19,12,72,8,46.0959432976102,204.822320992317,13.3066992604441
"D127","D127_2007",47,15,113,11,46.0959432976102,204.822320992317,5.50415190418054
"D127","D127_2007",23,8,91,10,46.0959432976102,204.822320992317,3.40796165759971
"D127","D127_2007",19,14,53,7,20.9577133293398,107.635632113553,13.3066992604441
"D127","D127_2007",22,15,53,8,20.9577133293398,107.635632113553,5.50415190418054
"D127","D127_2007",19,13,49,6,20.9577133293398,107.635632113553,3.40796165759971
"D127","D127_2007",9,6,93,9,36.1219468442723,176.648890475044,13.3066992604441
"D127","D127_2007",2,5,145,7,36.1219468442723,176.648890475044,5.50415190418054
